time(s),p(kPa),Voltage(V)
6.42,-0.03,-12.91
6.44,-0.03,-12.88
6.45,-0.03,-12.85
6.46,-0.02,-12.82
6.47,-0.02,-12.74
6.48,-0.03,-12.71
6.50,-0.03,-12.71
6.51,-0.02,-12.67
6.52,-0.03,-12.59
6.53,-0.03,-12.58
6.55,-0.02,-12.53
6.56,-0.02,-12.45
6.57,-0.02,-12.40
6.58,-0.03,-12.35
6.59,-0.03,-12.32
6.61,-0.03,-12.27
6.62,-0.03,-12.21
6.63,-0.03,-12.15
6.64,-0.03,-12.09
6.65,-0.03,-12.03
6.67,-0.03,-11.96
6.68,-0.03,-11.89
6.69,-0.03,-11.82
6.70,-0.02,-11.75
6.72,-0.03,-11.64
6.73,-0.02,-11.60
6.74,-0.02,-11.49
6.75,-0.03,-11.41
6.76,-0.03,-11.37
6.78,-0.02,-11.29
6.79,-0.02,-11.17
6.80,-0.02,-11.08
6.81,-0.02,-10.99
6.82,-0.03,-10.91
6.84,-0.03,-10.86
6.85,-0.03,-10.76
6.86,-0.03,-10.67
6.87,-0.03,-10.58
6.88,-0.02,-10.48
6.90,-0.03,-10.35
6.91,-0.02,-10.29
6.92,-0.03,-10.15
6.93,-0.02,-10.08
6.94,-0.03,-9.94
6.96,-0.02,-9.88
6.97,-0.03,-9.73
6.98,-0.03,-9.66
6.99,-0.03,-9.56
7.01,-0.02,-9.46
7.02,-0.03,-9.30
7.03,-0.02,-9.23
7.04,-0.02,-9.08
7.05,-0.03,-8.96
7.07,-0.03,-8.89
7.08,-0.03,-8.77
7.09,-0.03,-8.66
7.10,-0.03,-8.53
7.11,-0.02,-8.42
7.13,-0.03,-8.27
7.14,-0.03,-8.17
7.15,-0.03,-8.05
7.16,-0.02,-7.94
7.17,-0.03,-7.78
7.19,-0.03,-7.68
7.20,-0.03,-7.56
7.21,-0.03,-7.44
7.22,-0.02,-7.31
7.23,-0.03,-7.14
7.25,-0.03,-7.05
7.26,-0.02,-6.92
7.27,-0.03,-6.75
7.28,-0.03,-6.66
7.29,-0.02,-6.53
7.31,-0.03,-6.36
7.32,-0.03,-6.27
7.33,-0.03,-6.14
7.34,-0.03,-6.00
7.35,-0.02,-5.86
7.37,-0.03,-5.70
7.38,-0.03,-5.60
7.39,-0.02,-5.47
7.40,-0.03,-5.29
7.41,-0.02,-5.20
7.43,-0.03,-5.03
7.44,-0.02,-4.92
7.45,-0.03,-4.75
7.46,-0.02,-4.66
7.48,-0.03,-4.49
7.49,-0.03,-4.38
7.50,-0.03,-4.24
7.51,-0.02,-4.11
7.52,-0.02,-3.93
7.53,-0.02,-3.80
7.55,-0.02,-3.66
7.56,-0.03,-3.53
7.57,-0.03,-3.43
7.58,-0.02,-3.29
7.60,-0.03,-3.12
7.61,-0.03,-3.01
7.62,-0.02,-2.89
7.63,-0.03,-2.72
7.64,-0.03,-2.62
7.66,-0.02,-2.48
7.67,-0.02,-2.32
7.68,-0.02,-2.18
7.69,-0.03,-2.04
7.70,-0.03,-1.94
7.72,-0.03,-1.81
7.73,-0.02,-1.69
7.74,-0.03,-1.52
7.75,-0.03,-1.42
7.76,-0.03,-1.29
7.78,-0.02,-1.17
7.79,-0.03,-1.00
7.80,-0.03,-0.91
7.81,-0.03,-0.78
7.82,-0.03,-0.66
7.84,-0.03,-0.53
7.85,-0.03,-0.41
7.86,-0.03,-0.28
7.87,-0.03,-0.16
7.88,-0.03,-0.04
7.90,-0.02,0.08
7.91,1.46,0.25
7.92,2.00,4.79
7.93,1.50,6.52
7.95,1.45,5.14
7.96,1.43,5.11
7.97,1.43,5.18
7.98,1.43,5.30
7.99,1.42,5.42
8.00,1.42,5.49
8.02,1.41,5.59
8.03,1.41,5.67
8.04,1.41,5.78
8.05,1.39,5.89
8.06,1.37,5.91
8.08,1.36,5.99
8.09,1.34,6.05
8.10,1.32,6.08
8.11,1.30,6.13
8.13,1.28,6.17
8.14,1.24,6.19
8.15,1.23,6.18
8.16,1.19,6.23
8.17,1.17,6.22
8.19,1.14,6.23
8.20,1.12,6.25
8.21,1.08,6.26
8.22,1.06,6.24
8.23,1.03,6.25
8.25,0.99,6.26
8.26,0.97,6.23
8.27,0.93,6.24
8.28,0.91,6.21
8.29,0.88,6.22
8.31,0.86,6.21
8.32,0.85,6.21
8.33,0.82,6.24
8.34,0.79,6.25
8.35,0.77,6.20
8.37,0.75,6.23
8.38,0.73,6.22
8.39,0.69,6.21
8.40,0.66,6.16
8.41,0.64,6.14
8.43,0.64,6.13
8.44,0.62,6.19
8.45,0.59,6.16
8.46,0.59,6.14
8.47,0.55,6.19
8.48,0.55,6.13
8.50,0.53,6.17
8.51,0.49,6.14
8.52,0.48,6.07
8.53,0.48,6.08
8.55,0.47,6.11
8.56,0.44,6.11
8.57,0.43,6.07
8.58,0.43,6.07
8.59,0.42,6.10
8.61,0.40,6.09
8.62,0.38,6.04
8.63,0.38,6.03
8.64,0.37,6.05
8.65,0.36,6.03
8.67,0.35,6.01
8.68,0.35,5.99
8.69,0.33,6.00
8.70,0.32,5.98
8.72,0.31,5.95
8.73,0.32,5.92
8.74,0.31,5.96
8.75,0.31,5.93
8.76,0.31,5.93
8.77,0.30,5.93
8.79,0.30,5.89
8.80,0.30,5.89
8.81,0.30,5.88
8.82,0.29,5.87
8.84,0.27,5.82
8.85,0.29,5.77
8.86,0.29,5.79
8.87,0.29,5.77
8.88,0.29,5.76
8.90,0.29,5.73
8.91,0.30,5.71
8.92,0.30,5.72
8.93,0.30,5.69
8.94,0.30,5.66
8.96,0.31,5.63
8.97,0.30,5.63
8.98,0.30,5.56
8.99,0.32,5.52
9.00,0.32,5.56
9.02,0.31,5.51
9.03,0.33,5.44
9.04,0.35,5.46
9.05,0.33,5.45
9.06,0.35,5.36
9.07,0.36,5.35
9.09,0.37,5.34
9.10,0.38,5.31
9.11,0.38,5.29
9.12,0.38,5.24
9.14,0.40,5.18
9.15,0.40,5.15
9.16,0.42,5.09
9.17,0.42,5.09
9.18,0.43,5.03
9.20,0.44,4.99
9.21,0.44,4.96
9.22,0.46,4.88
9.23,0.47,4.85
9.24,0.48,4.81
9.26,0.52,4.77
9.27,0.55,4.80
9.28,0.57,4.82
9.29,0.59,4.78
9.31,0.62,4.77
9.32,0.63,4.75
9.33,0.66,4.70
9.34,0.70,4.72
9.35,0.74,4.74
9.36,0.77,4.75
9.38,0.79,4.78
9.39,0.81,4.72
9.40,0.82,4.69
9.41,0.87,4.62
9.42,0.90,4.68
9.44,0.93,4.65
9.45,0.97,4.65
9.46,1.01,4.66
9.47,1.03,4.67
9.48,1.07,4.63
9.50,1.08,4.63
9.51,1.12,4.56
9.52,1.15,4.57
9.53,1.20,4.56
9.55,1.24,4.59
9.56,1.26,4.59
9.57,1.30,4.56
9.58,1.34,4.54
9.59,1.35,4.53
9.60,1.40,4.45
9.62,1.43,4.48
9.63,1.48,4.47
9.64,1.52,4.50
9.65,1.56,4.48
9.67,1.58,4.47
9.68,1.62,4.42
9.69,1.64,4.41
9.70,1.68,4.34
9.71,1.74,4.33
9.73,1.78,4.40
9.74,1.83,4.38
9.75,1.85,4.39
9.76,1.89,4.33
9.77,1.92,4.32
9.79,1.96,4.29
9.80,2.01,4.27
9.81,2.07,4.29
9.82,2.11,4.35
9.83,2.14,4.32
9.85,2.18,4.29
9.86,2.22,4.27
9.87,2.27,4.25
9.88,2.31,4.26
9.89,2.36,4.27
9.91,2.41,4.28
9.92,2.45,4.30
9.93,2.49,4.27
9.94,2.52,4.25
9.95,2.56,4.21
9.97,2.61,4.20
9.98,2.67,4.21
9.99,2.72,4.25
10.00,2.77,4.25
10.01,2.82,4.27
10.03,2.85,4.29
10.04,2.90,4.25
10.05,2.94,4.26
10.06,2.97,4.24
10.07,3.04,4.21
10.09,3.07,4.26
10.10,3.13,4.23
10.11,3.18,4.28
10.12,3.22,4.28
10.14,3.26,4.26
10.15,3.30,4.23
10.16,3.35,4.26
10.17,3.40,4.26
10.18,3.45,4.28
10.20,3.50,4.29
10.21,3.54,4.30
10.22,3.57,4.28
10.23,3.61,4.26
10.25,3.66,4.24
10.26,3.68,4.25
10.27,3.73,4.19
10.28,3.79,4.22
10.29,3.84,4.28
10.31,3.89,4.29
10.32,3.93,4.31
10.33,3.96,4.29
10.34,4.00,4.27
10.35,4.05,4.26
10.36,4.09,4.29
10.38,4.12,4.27
10.39,4.17,4.25
10.40,4.21,4.28
10.41,4.26,4.28
10.43,4.29,4.30
10.44,4.34,4.29
10.45,4.38,4.32
10.46,4.40,4.32
10.47,4.44,4.27
10.49,4.48,4.27
10.50,4.53,4.27
10.51,4.55,4.30
10.52,4.60,4.26
10.53,4.64,4.30
10.55,4.67,4.31
10.56,4.70,4.31
10.57,4.73,4.28
10.58,4.76,4.28
10.60,4.79,4.25
10.61,4.83,4.26
10.62,4.88,4.28
10.63,4.92,4.32
10.64,4.93,4.33
10.66,4.95,4.27
10.67,4.99,4.25
10.68,5.03,4.27
10.69,5.05,4.29
10.70,5.09,4.28
10.72,5.12,4.30
10.73,5.15,4.32
10.74,5.17,4.32
10.75,5.20,4.31
10.77,5.22,4.29
10.78,5.25,4.29
10.79,5.27,4.28
10.80,5.31,4.28
10.81,5.33,4.32
10.82,5.36,4.32
10.84,5.38,4.32
10.85,5.41,4.32
10.86,5.42,4.33
10.87,5.45,4.31
10.89,5.47,4.35
10.90,5.48,4.33
10.91,5.50,4.30
10.92,5.53,4.32
10.93,5.54,4.34
10.95,5.56,4.32
10.96,5.59,4.34
10.97,5.60,4.37
10.98,5.63,4.35
10.99,5.64,4.38
11.01,5.66,4.38
11.02,5.67,4.41
11.03,5.69,4.40
11.04,5.70,4.40
11.06,5.70,4.40
11.07,5.72,4.37
11.08,5.74,4.41
11.09,5.75,4.41
11.10,5.76,4.42
11.11,5.77,4.43
11.13,5.78,4.45
11.14,5.80,4.46
11.15,5.81,4.48
11.16,5.81,4.49
11.18,5.82,4.48
11.19,5.82,4.50
11.20,5.82,4.49
11.21,5.83,4.48
11.23,5.85,4.51
11.24,5.86,4.54
11.25,5.86,4.57
11.26,5.86,4.57
11.27,5.86,4.57
11.28,5.87,4.58
11.30,5.87,4.62
11.31,5.87,4.63
11.32,5.87,4.63
11.33,5.87,4.65
11.35,5.88,4.66
11.36,5.88,4.71
11.37,5.88,4.73
11.38,5.87,4.75
11.39,5.87,4.73
11.41,5.88,4.76
11.42,5.87,4.82
11.43,5.86,4.81
11.44,5.86,4.80
11.45,5.86,4.84
11.47,5.86,4.87
11.48,5.85,4.90
11.49,5.85,4.91
11.50,5.83,4.95
11.51,5.83,4.95
11.53,5.82,4.99
11.54,5.82,5.00
11.55,5.82,5.05
11.56,5.81,5.10
11.58,5.80,5.12
11.59,5.80,5.13
11.60,5.78,5.19
11.61,5.78,5.21
11.62,5.77,5.27
11.64,5.77,5.29
11.65,5.76,5.35
11.66,5.75,5.39
11.67,5.75,5.41
11.68,5.75,5.48
11.70,5.74,5.55
11.71,5.71,5.59
11.72,5.70,5.59
11.73,5.69,5.62
11.75,5.66,5.66
11.76,5.64,5.67
11.77,5.63,5.68
11.78,5.60,5.72
11.79,5.56,5.74
11.81,5.54,5.71
11.82,5.50,5.72
11.83,5.49,5.70
11.84,5.47,5.76
11.85,5.44,5.78
11.87,5.42,5.79
11.88,5.38,5.82
11.89,5.36,5.80
11.90,5.32,5.83
11.92,5.28,5.82
11.93,5.25,5.81
11.94,5.22,5.80
11.95,5.21,5.83
11.96,5.17,5.90
11.98,5.14,5.90
11.99,5.10,5.89
12.00,5.06,5.88
12.01,5.01,5.89
12.02,4.99,5.86
12.04,4.95,5.89
12.05,4.92,5.91
12.06,4.88,5.91
12.07,4.86,5.90
12.08,4.82,5.95
12.10,4.78,5.96
12.11,4.75,5.97
12.12,4.71,5.98
12.13,4.67,5.99
12.14,4.64,6.00
12.16,4.59,6.01
12.17,4.54,5.99
12.18,4.50,5.98
12.19,4.46,5.98
12.21,4.43,6.00
12.22,4.39,6.02
12.23,4.35,6.04
12.24,4.31,6.06
12.25,4.27,6.04
12.27,4.23,6.06
12.28,4.20,6.08
12.29,4.16,6.10
12.30,4.11,6.13
12.31,4.06,6.12
12.32,4.02,6.09
12.34,3.98,6.11
12.35,3.94,6.11
12.36,3.90,6.13
12.38,3.87,6.16
12.39,3.83,6.19
12.40,3.78,6.20
12.41,3.73,6.19
12.42,3.68,6.18
12.44,3.65,6.18
12.45,3.60,6.20
12.46,3.57,6.18
12.47,3.52,6.25
12.48,3.49,6.24
12.50,3.44,6.27
12.51,3.40,6.26
12.52,3.35,6.30
12.53,3.30,6.27
12.54,3.27,6.26
12.56,3.23,6.30
12.57,3.18,6.32
12.58,3.15,6.31
12.59,3.11,6.34
12.60,3.05,6.36
12.62,3.01,6.32
12.63,2.97,6.34
12.64,2.93,6.36
12.65,2.90,6.36
12.66,2.85,6.41
12.68,2.82,6.40
12.69,2.78,6.43
12.70,2.73,6.45
12.71,2.69,6.44
12.73,2.66,6.45
12.74,2.61,6.48
12.75,2.57,6.46
12.76,2.53,6.48
12.77,2.49,6.51
12.78,2.44,6.48
12.80,2.40,6.46
12.81,2.38,6.48
12.82,2.34,6.54
12.83,2.29,6.56
12.85,2.27,6.54
12.86,2.22,6.59
12.87,2.18,6.56
12.88,2.14,6.58
12.90,2.09,6.59
12.91,2.07,6.57
12.92,2.03,6.60
12.93,2.00,6.61
12.94,1.96,6.63
12.96,1.92,6.64
12.97,1.89,6.64
12.98,1.85,6.63
12.99,1.81,6.65
13.00,1.79,6.65
13.02,1.75,6.68
13.03,1.72,6.69
13.04,1.67,6.69
13.05,1.64,6.64
13.06,1.59,6.67
13.08,1.56,6.64
13.09,1.53,6.63
13.10,1.51,6.66
13.11,1.47,6.68
13.12,1.42,6.67
13.14,1.39,6.62
13.15,1.35,6.61
13.16,1.31,6.60
13.17,1.29,6.57
13.19,1.26,6.59
13.20,1.23,6.62
13.21,1.19,6.59
13.22,1.15,6.57
13.23,1.12,6.54
13.25,1.08,6.52
13.26,1.06,6.49
13.27,1.01,6.49
13.28,0.99,6.43
13.29,0.96,6.47
13.31,0.93,6.43
13.32,0.91,6.43
13.33,0.87,6.43
13.34,0.85,6.39
13.35,0.81,6.39
13.37,0.79,6.34
13.38,0.76,6.33
13.39,0.74,6.32
13.40,0.71,6.31
13.41,0.69,6.30
13.43,0.68,6.28
13.44,0.65,6.30
13.45,0.63,6.27
13.46,0.62,6.26
13.48,0.59,6.27
13.49,0.58,6.24
13.50,0.54,6.25
13.51,0.53,6.18
13.52,0.53,6.19
13.54,0.52,6.23
13.55,0.49,6.23
13.56,0.47,6.19
13.57,0.46,6.15
13.58,0.44,6.15
13.60,0.43,6.14
13.61,0.41,6.13
13.62,0.41,6.08
13.63,0.40,6.10
13.64,0.40,6.09
13.66,0.38,6.11
13.67,0.38,6.09
13.68,0.37,6.10
13.69,0.36,6.08
13.71,0.35,6.05
13.72,0.32,6.03
13.73,0.32,5.96
13.74,0.32,5.96
13.75,0.31,5.97
13.77,0.31,5.93
13.78,0.31,5.93
13.79,0.31,5.93
13.80,0.30,5.92
13.81,0.31,5.88
13.83,0.30,5.90
13.84,0.29,5.85
13.85,0.30,5.80
13.86,0.30,5.82
13.87,0.31,5.81
13.89,0.30,5.82
13.90,0.30,5.76
13.91,0.29,5.74
13.92,0.30,5.67
13.93,0.30,5.69
13.95,0.31,5.65
13.96,0.31,5.66
13.97,0.31,5.62
13.98,0.32,5.59
14.00,0.32,5.58
14.01,0.32,5.54
14.02,0.33,5.50
14.03,0.33,5.50
14.04,0.36,5.45
14.06,0.36,5.47
14.07,0.36,5.42
14.08,0.36,5.37
14.09,0.38,5.31
14.10,0.38,5.33
14.11,0.40,5.28
14.13,0.40,5.26
14.14,0.41,5.19
14.15,0.41,5.16
14.16,0.42,5.10
14.18,0.43,5.07
14.19,0.43,5.03
14.20,0.46,4.97
14.21,0.47,4.97
14.23,0.47,4.93
14.24,0.48,4.85
14.25,0.49,4.81
14.26,0.52,4.78
14.27,0.55,4.76
14.28,0.58,4.79
14.30,0.60,4.78
14.31,0.64,4.76
14.32,0.66,4.79
14.33,0.68,4.77
14.35,0.70,4.72
14.36,0.71,4.70
14.37,0.75,4.64
14.38,0.80,4.65
14.39,0.84,4.71
14.41,0.87,4.72
14.42,0.90,4.73
14.43,0.92,4.70
14.44,0.93,4.66
14.45,0.96,4.61
14.47,1.01,4.58
14.48,1.04,4.61
14.49,1.09,4.61
14.50,1.12,4.65
14.52,1.14,4.62
14.53,1.17,4.58
14.54,1.21,4.54
14.55,1.25,4.57
14.56,1.29,4.56
14.57,1.31,4.55
14.59,1.35,4.52
14.60,1.39,4.51
14.61,1.42,4.49
14.62,1.45,4.48
14.64,1.50,4.44
14.65,1.54,4.46
14.66,1.57,4.49
14.67,1.59,4.44
14.69,1.64,4.39
14.70,1.67,4.40
14.71,1.72,4.34
14.72,1.76,4.38
14.73,1.80,4.38
14.75,1.84,4.37
14.76,1.87,4.35
14.77,1.91,4.33
14.78,1.95,4.31
14.79,2.00,4.29
14.81,2.03,4.30
14.82,2.08,4.27
14.83,2.12,4.29
14.84,2.17,4.28
14.85,2.20,4.29
14.87,2.25,4.25
14.88,2.30,4.27
14.89,2.35,4.28
14.90,2.40,4.28
14.91,2.44,4.30
14.93,2.49,4.28
14.94,2.52,4.29
14.95,2.56,4.26
14.96,2.60,4.23
14.97,2.66,4.20
14.99,2.71,4.26
15.00,2.75,4.26
15.01,2.79,4.27
15.02,2.84,4.25
15.03,2.88,4.25
15.05,2.93,4.23
15.06,2.99,4.24
15.07,3.02,4.29
15.08,3.06,4.26
15.10,3.12,4.23
15.11,3.16,4.28
15.12,3.21,4.25
15.13,3.26,4.27
15.14,3.30,4.28
15.16,3.35,4.29
15.17,3.39,4.29
15.18,3.44,4.28
15.19,3.48,4.30
15.21,3.52,4.26
15.22,3.55,4.28
15.23,3.59,4.22
15.24,3.65,4.20
15.25,3.70,4.25
15.27,3.74,4.27
15.28,3.79,4.29
15.29,3.83,4.30
15.30,3.87,4.28
15.31,3.91,4.27
15.33,3.94,4.30
15.34,3.99,4.23
15.35,4.01,4.26
15.36,4.07,4.21
15.37,4.12,4.27
15.39,4.18,4.29
15.40,4.21,4.35
15.41,4.23,4.31
15.42,4.27,4.25
15.43,4.31,4.25
15.45,4.35,4.25
15.46,4.40,4.27
15.47,4.45,4.30
15.48,4.48,4.34
15.50,4.50,4.30
15.51,4.54,4.26
15.52,4.57,4.26
15.53,4.61,4.26
15.54,4.66,4.26
15.56,4.70,4.30
15.57,4.75,4.31
15.58,4.77,4.35
15.59,4.78,4.32
15.60,4.82,4.25
15.62,4.86,4.26
15.63,4.90,4.27
15.64,4.93,4.33
15.65,4.95,4.30
15.67,4.99,4.28
15.68,5.01,4.29
15.69,5.05,4.28
15.70,5.08,4.31
15.71,5.11,4.29
15.73,5.14,4.31
15.74,5.17,4.30
15.75,5.19,4.33
15.76,5.22,4.28
15.77,5.25,4.31
15.78,5.27,4.31
15.80,5.30,4.31
15.81,5.32,4.30
15.82,5.36,4.30
15.83,5.37,4.35
15.85,5.39,4.31
15.86,5.42,4.32
15.87,5.44,4.32
15.88,5.47,4.33
15.89,5.49,4.34
15.91,5.50,4.36
15.92,5.52,4.34
15.93,5.54,4.31
15.94,5.56,4.33
15.95,5.58,4.36
15.97,5.60,4.35
15.98,5.63,4.37
15.99,5.64,4.39
16.00,5.65,4.39
16.01,5.66,4.38
16.03,5.67,4.38
16.04,5.70,4.37
16.05,5.71,4.41
16.06,5.74,4.41
16.07,5.74,4.45
16.09,5.75,4.42
16.10,5.76,4.43
16.11,5.77,4.44
16.12,5.78,4.45
16.14,5.78,4.47
16.15,5.80,4.44
16.16,5.81,4.46
16.17,5.82,4.48
16.18,5.82,4.51
16.20,5.82,4.49
16.21,5.82,4.48
16.22,5.83,4.48
16.23,5.85,4.51
16.25,5.85,4.54
16.26,5.86,4.54
16.27,5.86,4.57
16.28,5.87,4.58
16.29,5.87,4.62
16.31,5.87,4.62
16.32,5.87,4.63
16.33,5.87,4.64
16.34,5.88,4.66
16.35,5.87,4.71
16.37,5.88,4.69
16.38,5.87,4.74
16.39,5.87,4.73
16.40,5.87,4.75
16.41,5.87,4.78
16.43,5.87,4.80
16.44,5.87,4.83
16.45,5.86,4.86
16.46,5.86,4.86
16.47,5.85,4.89
16.49,5.85,4.89
16.50,5.83,4.93
16.51,5.82,4.94
16.52,5.82,4.95
16.54,5.82,4.99
16.55,5.81,5.04
16.56,5.81,5.05
16.57,5.80,5.10
16.58,5.80,5.12
16.60,5.78,5.17
16.61,5.78,5.19
16.62,5.77,5.25
16.63,5.77,5.27
16.64,5.76,5.33
16.66,5.76,5.37
16.67,5.75,5.43
16.68,5.74,5.46
16.69,5.72,5.49
16.70,5.71,5.53
16.72,5.71,5.56
16.73,5.69,5.64
16.74,5.66,5.65
16.75,5.64,5.65
16.76,5.63,5.65
16.78,5.60,5.70
16.79,5.59,5.71
16.80,5.55,5.76
16.81,5.53,5.74
16.83,5.50,5.75
16.84,5.47,5.77
16.85,5.44,5.75
16.86,5.42,5.77
16.87,5.39,5.79
16.89,5.36,5.82
16.90,5.32,5.79
16.91,5.30,5.79
16.92,5.27,5.82
16.93,5.23,5.85
16.95,5.21,5.84
16.96,5.17,5.87
16.97,5.14,5.86
16.98,5.11,5.86
17.00,5.06,5.90
17.01,5.04,5.86
17.02,5.00,5.90
17.03,4.97,5.89
17.04,4.93,5.90
17.06,4.88,5.91
17.07,4.84,5.88
17.08,4.82,5.89
17.09,4.79,5.92
17.10,4.76,5.97
17.12,4.72,5.98
17.13,4.70,6.00
17.14,4.64,6.05
17.15,4.59,5.97
17.17,4.55,5.96
17.18,4.53,5.97
17.19,4.49,6.02
17.20,4.45,6.04
17.21,4.40,6.07
17.22,4.35,6.04
17.24,4.32,6.02
17.25,4.28,6.04
17.26,4.24,6.06
17.27,4.20,6.08
17.29,4.16,6.06
17.30,4.13,6.09
17.31,4.09,6.14
17.32,4.04,6.13
17.33,4.00,6.13
17.35,3.95,6.15
17.36,3.90,6.12
17.37,3.87,6.11
17.38,3.83,6.15
17.39,3.80,6.17
17.41,3.76,6.23
17.42,3.70,6.21
17.43,3.66,6.17
17.44,3.62,6.20
17.46,3.59,6.22
17.47,3.55,6.26
17.48,3.49,6.28
17.49,3.44,6.22
17.50,3.39,6.21
17.52,3.35,6.21
17.53,3.33,6.24
17.54,3.30,6.30
17.55,3.26,6.38
17.56,3.19,6.35
17.58,3.16,6.31
17.59,3.11,6.33
17.60,3.07,6.33
17.61,3.04,6.35
17.62,3.00,6.37
17.64,2.95,6.40
17.65,2.90,6.39
17.66,2.86,6.38
17.67,2.82,6.40
17.68,2.78,6.39
17.70,2.74,6.41
17.71,2.71,6.43
17.72,2.66,6.46
17.73,2.63,6.45
17.75,2.58,6.49
17.76,2.55,6.48
17.77,2.50,6.51
17.78,2.46,6.49
17.79,2.42,6.51
17.81,2.39,6.53
17.82,2.35,6.54
17.83,2.30,6.55
17.84,2.27,6.53
17.85,2.22,6.56
17.87,2.19,6.53
17.88,2.16,6.57
17.89,2.11,6.59
17.90,2.08,6.57
17.92,2.03,6.61
17.93,2.00,6.58
17.94,1.97,6.59
17.95,1.94,6.63
17.96,1.89,6.64
17.98,1.86,6.62
17.99,1.83,6.65
18.00,1.78,6.66
18.01,1.75,6.61
18.02,1.72,6.66
18.04,1.68,6.65
18.05,1.64,6.65
18.06,1.61,6.65
18.07,1.58,6.64
18.08,1.56,6.67
18.10,1.51,6.70
18.11,1.48,6.66
18.12,1.43,6.68
18.13,1.41,6.63
18.14,1.37,6.65
18.16,1.34,6.64
18.17,1.30,6.62
18.18,1.26,6.61
18.19,1.21,6.59
18.20,1.20,6.53
18.22,1.17,6.58
18.23,1.13,6.55
18.24,1.09,6.53
18.25,1.07,6.50
18.27,1.03,6.50
18.28,0.99,6.48
18.29,0.96,6.45
18.30,0.93,6.41
18.31,0.91,6.41
18.33,0.88,6.41
18.34,0.86,6.41
18.35,0.84,6.40
18.36,0.80,6.40
18.37,0.76,6.35
18.39,0.75,6.30
18.40,0.73,6.33
18.41,0.70,6.32
18.42,0.68,6.30
18.44,0.66,6.28
18.45,0.63,6.30
18.46,0.62,6.24
18.47,0.59,6.25
18.48,0.58,6.23
18.50,0.55,6.24
18.51,0.53,6.21
18.52,0.53,6.17
18.53,0.51,6.22
18.54,0.49,6.18
18.56,0.48,6.18
18.57,0.46,6.18
